date_time,country,city,state,shape,summary,lat,lng,location
9/29/16 19:15,USA,Marietta,GA,Changing,Daytime (sunset) sighting of an object that looked similar to a space ,33.9528472,-84.5496147,POINT(-84.5496147 33.9528472)
,,,,,station.,,,
9/29/16 11:45,USA,Idyllwild,CA,Circle,Black dot moving fast on a sunny day that disappeared behind clouds on ,33.7400209,-116.7189074,POINT(-116.7189074 33.7400209)
,,,,,9/29/16 at 11:45 am. Duration was 3-5 seconds.,,,
7/12/16 19:15,USA,Snellville,GA,Circle,Moving light sphere. ((NUFORC Note: We suspect a sighting of a star or ,33.857328,-84.0199107,POINT(-84.0199107 33.857328)
,,,,,planet. PD)),,,
9/29/16 9:00,USA,Canby,OR,Rectangle,"A rectangular object of light, very small and fast captured on video.",45.2629088,-122.6925982,POINT(-122.6925982 45.2629088)
9/29/16 2:30,USA,Tampa,FL,Flash,Was looking towards the Orion belt night sky and saw flashing lights . I ,27.9518491,-82.4563971,POINT(-82.4563971 27.9518491)
,,,,,thought no big deal an airplane but no the flashing light did,,,
9/29/16 0:00,USA,Lake Charles,LA,Oval,We saw flashing objects in the sky having an oval shape and also one with ,30.2265949,-93.2173758,POINT(-93.2173758 30.2265949)
,,,,,other flashing lights forming a triangle.,,,
9/28/16 23:00,USA,Overland Park,KS,Fireball,I saw a MASSIVE white object fall from the sky.,38.9822282,-94.6707916,POINT(-94.6707916 38.9822282)
9/28/16 22:00,USA,Boulder,CO,Triangle,Triangular moved N to S a slow slow steady speed very dim lights that could ,40.102555,-105.3632078,POINT(-105.3632078 40.102555)
,,,,,be mistaken for stars at a distance ((anonymous report)),,,
9/28/16 21:02,USA,Delano,CA,Other,The object was flying S to N in a linear direction. No beacon lights and it ,35.7688425,-119.2470535,POINT(-119.2470535 35.7688425)
,,,,,disappeared in the atmosphere. ((anonymous report)),,,
9/28/16 21:00,USA,Rexburg,ID,Triangle,Triangle-shaped object with lights emitting in each corner of the object ,43.8235163,-111.7870221,POINT(-111.7870221 43.8235163)
,,,,,flies overhead.,,,
9/28/16 21:00,CANADA,Ottawa,ON,Triangle,"I looked up and gasped, as I saw three lights on three corners forming a ",45.4210328,-75.6900218,POINT(-75.6900218 45.4210328)
,,,,,triangle. ((anonymous report)),,,
